,p_0,p_1,p_2,p_3,p_4,p_5,p_6
62,0.053673223,0.05273979,0.030722057,0.0772653,0.04471247,0.03963215,0.06936773
63,0.017082108,0.035844482,0.011546248,0.05949996,0.017093688,0.021158967,0.035779953
64,0.02644871,0.044840325,0.016976172,0.06543333,0.026698029,0.022324687,0.04978998
65,0.018761098,0.033325545,0.013486517,0.05681759,0.01912066,0.022121618,0.039343998
66,0.020846043,0.037638955,0.013175508,0.05913942,0.017416468,0.021507613,0.037422184
67,0.023137335,0.038505178,0.014377747,0.060097657,0.019168762,0.022797897,0.03940957
68,0.019091366,0.037753306,0.011880575,0.058799613,0.016259748,0.020210642,0.034971755
69,0.016138664,0.033125732,0.010938009,0.056891464,0.015530205,0.019892596,0.034177374
70,0.02021078,0.037305597,0.0146421185,0.060509227,0.018779498,0.021701038,0.040049355
71,0.014568086,0.031899482,0.0096971365,0.05641928,0.015998071,0.020235797,0.03456673
72,0.032021713,0.054307144,0.019425582,0.0803843,0.030543106,0.029681668,0.055106252
73,0.01618824,0.036925852,0.012302339,0.06364172,0.01947201,0.02228614,0.040371895
74,0.02295219,0.039444044,0.015718892,0.061624393,0.022083933,0.023524093,0.043583833
75,0.03376942,0.05530506,0.021949863,0.076962024,0.03583069,0.031549335,0.060487837
76,0.014171133,0.029190382,0.009467465,0.0528372,0.015074121,0.018478028,0.03329526
77,0.01958045,0.03956758,0.015455084,0.07162341,0.02236354,0.024739664,0.045549754
78,0.027028078,0.05307788,0.013171831,0.06609693,0.023234747,0.022065604,0.043181777
79,0.22180177,0.2293202,0.06182554,0.18541276,0.07410847,0.053894304,0.10372184
80,0.099749714,0.11268647,0.03805031,0.110707134,0.06250789,0.04937687,0.08326309
81,0.100996144,0.07798523,0.043877006,0.08670665,0.050767776,0.04011254,0.07940876
82,0.08354486,0.063527286,0.038963392,0.074740954,0.048402924,0.040422283,0.07202434
83,0.07526566,0.077635564,0.031187177,0.087918736,0.040848702,0.038332034,0.06289063
84,0.1551895,0.1512936,0.042167887,0.13162343,0.06124558,0.043256458,0.085567765
85,0.08421513,0.07925111,0.041319482,0.101164185,0.05774735,0.049557067,0.08499545
86,0.100239374,0.10830988,0.034968656,0.10522083,0.05075119,0.043730564,0.0744296
87,0.12351472,0.14470576,0.040760268,0.14253312,0.045870446,0.042260833,0.07262926
88,0.020579532,0.039913043,0.013611659,0.06572564,0.018124139,0.022428699,0.037797093
89,0.016392441,0.032415632,0.010867254,0.058067277,0.017411262,0.021010878,0.036175165
90,0.015308482,0.03304349,0.011303,0.061549038,0.017144797,0.021825854,0.036347244
91,0.020123323,0.039882235,0.012537758,0.06381067,0.021475492,0.023089882,0.04229397
92,0.014247851,0.03405977,0.009389675,0.05773737,0.01364155,0.019920148,0.031440504
93,0.015440853,0.036187585,0.010997549,0.06378606,0.016120184,0.02113732,0.035559602
94,0.015126253,0.03209096,0.0102716265,0.057458717,0.014728974,0.02062146,0.032631833
95,0.014124359,0.033836465,0.009330098,0.057964746,0.013939355,0.020007648,0.03168286
96,0.01396522,0.032686867,0.008953969,0.055893492,0.013178652,0.01909773,0.0304963
97,0.015571998,0.035100076,0.010664735,0.058207694,0.017226228,0.0203218,0.0364353
98,0.016992388,0.03658563,0.011210354,0.059017822,0.018966952,0.020632084,0.038851213
99,0.015821712,0.034253858,0.010214944,0.05595101,0.017664855,0.020080995,0.03657332
100,0.020216161,0.038536463,0.012164754,0.058939334,0.02045185,0.021756908,0.04009504
101,0.020054407,0.036875125,0.012731132,0.057672884,0.019056082,0.020651104,0.038870543
102,0.018602844,0.03754868,0.012903615,0.06558959,0.018099267,0.022707151,0.037523054
103,0.018206634,0.03698345,0.012522135,0.0604209,0.022163589,0.02352654,0.043437347
104,0.015710674,0.03340822,0.010736398,0.054495856,0.017630072,0.019763993,0.03718937
105,0.015963413,0.03408094,0.011224015,0.05682195,0.018348504,0.020784523,0.038505804
106,0.03830195,0.053757265,0.019452427,0.07833042,0.029458174,0.02603878,0.05314009
107,0.016900187,0.037386544,0.012411266,0.06295629,0.020437066,0.022591742,0.041233126
108,0.017861566,0.035594556,0.012294565,0.060567636,0.01823827,0.022293143,0.037180904
109,0.019808508,0.037825372,0.014035423,0.06219132,0.019995354,0.022598835,0.041388333
110,0.014489062,0.032956675,0.01022174,0.05851665,0.01621706,0.020153198,0.03513682
111,0.022904899,0.042801037,0.013164682,0.060839497,0.020421814,0.022046287,0.04032556
112,0.035963066,0.041930486,0.022428682,0.060178228,0.030819608,0.028649949,0.053712055
113,0.08263345,0.0952329,0.031872477,0.110944666,0.04236345,0.041044135,0.06665255
114,0.1470561,0.11435863,0.059862435,0.11087667,0.07525218,0.060756147,0.10076264
115,0.066449024,0.06659769,0.03310386,0.08729942,0.052565735,0.038225956,0.07795644
116,0.16697726,0.14080979,0.05143889,0.12278652,0.06289431,0.048513807,0.089925244
117,0.087264776,0.05734288,0.043754652,0.0710801,0.046519756,0.04976262,0.07275435
118,0.09666221,0.08872929,0.044719987,0.09985872,0.05542219,0.04829566,0.07817931
119,0.16635326,0.19224478,0.04673678,0.15936683,0.06750871,0.05135504,0.09114062
120,0.079518065,0.09749288,0.031655695,0.1066191,0.05797534,0.04275055,0.07844477
121,0.06314378,0.06224501,0.030437168,0.07187273,0.052529003,0.044451132,0.07383499
122,0.19870275,0.24340048,0.056417137,0.21092138,0.06288024,0.046835218,0.09355448
123,0.036726907,0.05905747,0.02373878,0.08280817,0.03665495,0.03408186,0.061675165
124,0.023130655,0.043693434,0.014751923,0.062751785,0.024333892,0.023936165,0.04583365
125,0.02095472,0.038087383,0.014510451,0.06404296,0.02159273,0.023372512,0.04422112
126,0.014077493,0.032921996,0.009262699,0.058023375,0.0140063455,0.020066382,0.032217417
127,0.02199099,0.034847576,0.013850075,0.057761554,0.020809725,0.02219594,0.04249668
128,0.01816927,0.033327166,0.0122594265,0.052828606,0.02141087,0.02185,0.042594254
129,0.01565882,0.030863687,0.0107079875,0.052784547,0.017689697,0.020036194,0.03757535
130,0.019030338,0.042520795,0.01430343,0.07456549,0.0188901,0.023754267,0.040366147
131,0.01454775,0.029100697,0.009762915,0.04951985,0.013911867,0.018254781,0.031808104
132,0.018239893,0.034253314,0.013278035,0.062238865,0.0175818,0.021616397,0.0377372
133,0.02192224,0.04152194,0.01589382,0.06756233,0.023407761,0.022239996,0.046314273
134,0.024259714,0.044694733,0.016003836,0.0680062,0.023728924,0.022913735,0.046240855
135,0.024084387,0.041371837,0.014923592,0.061847523,0.02105187,0.022744281,0.042279977
136,0.015250913,0.029872956,0.010897994,0.05539035,0.015568243,0.020529145,0.033747453
137,0.019902332,0.039623447,0.013076961,0.06312528,0.01708338,0.021278802,0.0362964
138,0.024364755,0.04617082,0.015084193,0.067834415,0.020421375,0.022224428,0.04118471
139,0.027344827,0.051131424,0.016262311,0.071069784,0.02276083,0.023986064,0.04461146
140,0.025295358,0.047606397,0.015223616,0.0681388,0.020603104,0.022889547,0.041593973
141,0.018420026,0.03525351,0.011440757,0.05609391,0.016041253,0.019768251,0.03453445
142,0.017368793,0.0352654,0.011038613,0.058523744,0.015352136,0.020101462,0.033152636
143,0.018370261,0.035169918,0.012226686,0.06519829,0.018238192,0.023088537,0.037267767
144,0.016737716,0.03372457,0.011599914,0.05926462,0.018762326,0.020805446,0.03843645
145,0.024502987,0.043412674,0.016654573,0.06389632,0.027498443,0.024942625,0.05117351
146,0.021285325,0.041405283,0.014350257,0.062812515,0.025045384,0.023903562,0.047262013
147,0.01531391,0.034367375,0.011241958,0.06140209,0.018174507,0.021062303,0.03833513
148,0.017989045,0.03899172,0.012590117,0.062171716,0.021715868,0.022432838,0.042673707
149,0.019960288,0.037854973,0.0138923805,0.07284079,0.02263804,0.024673255,0.04311367
150,0.025629306,0.04638388,0.016825166,0.06871986,0.028655628,0.026945546,0.051604424
151,0.029138701,0.051956628,0.01677405,0.07261201,0.028516246,0.0255735,0.050719712
152,0.052617807,0.07066418,0.024602741,0.0904711,0.04167992,0.03346988,0.064045735
153,0.11891389,0.11706982,0.040120922,0.11585167,0.051113114,0.04247317,0.074258916
154,0.06395874,0.05506302,0.031133529,0.07057301,0.046857864,0.042146888,0.070224866
155,0.108398646,0.08432688,0.04016915,0.08298903,0.041721527,0.04041725,0.06384395
156,0.22229439,0.2040024,0.06334775,0.16434436,0.07158259,0.053688616,0.09960719
157,0.12859315,0.1364017,0.045974467,0.13605925,0.06256861,0.050436683,0.08770933
158,0.043895252,0.054522656,0.0247911,0.075575076,0.036133505,0.03118895,0.059863467
159,0.04348244,0.056711916,0.019066691,0.06451147,0.029126327,0.026101654,0.050002042
160,0.067069754,0.102803804,0.022101836,0.10048432,0.03367306,0.027714282,0.05582832
161,0.045716044,0.061456803,0.018261997,0.06977614,0.032961074,0.027256979,0.053934574
162,0.04040132,0.04301653,0.023176955,0.05978049,0.028513445,0.025844185,0.050931264
163,0.06404169,0.05573005,0.042721808,0.07724037,0.05461161,0.05890821,0.08417656
164,0.023389183,0.041746136,0.015763817,0.064361975,0.020254549,0.023248367,0.041493498
165,0.015698226,0.03533079,0.0108729955,0.06172071,0.017117707,0.021665407,0.036513735
166,0.016657783,0.03831369,0.012115648,0.06256442,0.019725181,0.021754157,0.04037474
167,0.020276226,0.036002446,0.013147199,0.06126494,0.02271054,0.022566468,0.04390819
168,0.015777778,0.034860335,0.010845578,0.05932418,0.016925883,0.021254085,0.036570854
169,0.016232193,0.029522477,0.011128523,0.049244735,0.01856457,0.01986101,0.038546007
170,0.016762676,0.03195202,0.01210384,0.052896705,0.019013567,0.020765355,0.039513625
171,0.0143571915,0.026454039,0.010940856,0.04761564,0.017909802,0.019279381,0.038089946
172,0.015513403,0.028202213,0.01172519,0.04970115,0.018944526,0.020883793,0.03923793
173,0.019798355,0.029229105,0.01303393,0.047101144,0.020601967,0.020988036,0.041741416
174,0.017509254,0.028726164,0.011469401,0.05185519,0.017465359,0.019873155,0.03751738
175,0.016743116,0.036456704,0.011089179,0.062837504,0.01671506,0.021302199,0.036050066
176,0.018317528,0.038296003,0.012765515,0.061289698,0.018738257,0.022816475,0.038885437
177,0.016889693,0.034537606,0.011479278,0.061687052,0.019152291,0.021146238,0.039627865
178,0.015220215,0.029917672,0.011416094,0.054850224,0.017722083,0.018838506,0.037787504
179,0.01621198,0.031418245,0.013828144,0.05529487,0.018046405,0.020021603,0.038125463
180,0.013016562,0.027631732,0.010190669,0.05094808,0.017938066,0.018567007,0.038344264
181,0.015991835,0.03471932,0.010613304,0.058545534,0.016599428,0.020747183,0.03589581
182,0.02626,0.047982723,0.016392043,0.06756963,0.026944883,0.02685998,0.049492937
183,0.034902353,0.053669263,0.021616856,0.074089855,0.029633824,0.02765974,0.05378546
184,0.016674254,0.03830783,0.011436757,0.06361333,0.018699292,0.022017537,0.038778983
