,index,p_0,p_1,p_2,p_3,p_4,p_5,p_6
58,2558,0.05706332,0.06995386,0.032027554,0.099370055,0.0494565,0.043006223,0.073172174
59,2559,0.12512732,0.14235833,0.040233288,0.14035739,0.046093587,0.039167352,0.07039481
60,2560,0.107853204,0.14747956,0.04049071,0.16473906,0.04774911,0.040211804,0.07534027
61,2561,0.064916015,0.07894448,0.03083017,0.09936859,0.04549538,0.039881285,0.0691274
62,2562,0.19339485,0.24180143,0.046767432,0.18933138,0.062481016,0.041780964,0.0883675
63,2563,0.044234335,0.06196896,0.022877675,0.09245923,0.029782346,0.032397542,0.0520331
64,2564,0.08604772,0.09817613,0.037227873,0.11611829,0.04794235,0.04546646,0.07192563
65,2565,0.17861779,0.22584945,0.053203344,0.21628144,0.057692707,0.045767587,0.088604376
66,2566,0.06689835,0.057557393,0.035500754,0.07473791,0.042319875,0.039447766,0.0673139
67,2567,0.16716126,0.18987128,0.048614293,0.17202392,0.048932195,0.042824443,0.07902909
68,2568,0.049806066,0.06336579,0.025132412,0.07474127,0.03044795,0.032138053,0.053008746
69,2569,0.10401613,0.15785581,0.038957134,0.14898136,0.04955428,0.040657885,0.07710647
70,2570,0.104680374,0.11801451,0.039590437,0.12998904,0.047864083,0.042475767,0.07325728
71,2571,0.18922181,0.1840195,0.053819817,0.1669924,0.054542825,0.04442974,0.08494703
72,2572,0.107303046,0.09447619,0.044384528,0.10689725,0.060304105,0.049606126,0.08524271
73,2573,0.13745712,0.15113229,0.045847926,0.15308999,0.053543128,0.042405814,0.08094289
74,2574,0.28665194,0.3314478,0.06860577,0.26528937,0.067557685,0.04367618,0.10444016
75,2575,0.16932696,0.22984554,0.041587852,0.19996443,0.042720277,0.03276442,0.07478535
76,2576,0.14383577,0.22590704,0.04124529,0.20847647,0.049571577,0.03709842,0.0800571
77,2577,0.06147526,0.09959593,0.026345389,0.12070123,0.04074653,0.033788234,0.06355762
78,2578,0.08231679,0.10019285,0.040301457,0.116381615,0.06611222,0.054475676,0.08939291
79,2579,0.1266726,0.14811753,0.04557835,0.15142803,0.055900685,0.048237626,0.0812568
80,2580,0.14664944,0.19610216,0.046779096,0.19570804,0.06137787,0.04593755,0.090083614
81,2581,0.15734497,0.20882334,0.047649242,0.197345,0.0553126,0.041140012,0.08417674
82,2582,0.096211374,0.1381251,0.03226829,0.15094249,0.04306794,0.03586013,0.07030131
83,2583,0.36560997,0.46061176,0.08003624,0.31427208,0.06353239,0.037887804,0.11067231
84,2584,0.18382822,0.22176507,0.052095447,0.18982759,0.060130868,0.044838082,0.090036094
85,2585,0.03518822,0.04437695,0.021891959,0.06448286,0.026053019,0.027653955,0.049898602
