,p_0,p_1,p_2,p_3,p_4,p_5,p_6
0,0.26929656,0.29284108,0.064394735,0.19575544,0.109878846,0.063599065,0.1347393
1,0.3922078,0.4985783,0.071745925,0.28170773,0.07340976,0.033399567,0.119480945
2,0.37087488,0.44222715,0.076353624,0.27345476,0.08882004,0.043387327,0.1290637
3,0.32624182,0.4033476,0.07844091,0.29819787,0.08127061,0.046652365,0.11927765
4,0.22920543,0.18660878,0.055101052,0.14573224,0.060475823,0.045301333,0.09018192
5,0.09911698,0.06991098,0.037461676,0.07817637,0.0449387,0.04309374,0.069397345
6,0.4172917,0.44544473,0.08992809,0.26759297,0.082994886,0.04488776,0.12826046
7,0.35514346,0.35367152,0.08673293,0.25123352,0.084354505,0.051530935,0.119430184
8,0.20836638,0.1980117,0.049891647,0.16125366,0.059707273,0.043465678,0.08713262
9,0.20097242,0.13621442,0.057965517,0.12154176,0.060860105,0.05237774,0.089726575
10,0.050154947,0.06875533,0.0247776,0.08233604,0.040338304,0.03945769,0.064058155
11,0.30440333,0.32348737,0.075891234,0.23966104,0.080083795,0.052642453,0.11586939
12,0.40200338,0.4178072,0.084679395,0.26169264,0.07553995,0.041394375,0.11870864
13,0.42831492,0.47301453,0.0956315,0.275456,0.07793361,0.040127628,0.12556188
14,0.24053434,0.21460076,0.060685035,0.16304971,0.07676031,0.05315475,0.10236517
15,0.34283456,0.31408438,0.070512675,0.22583571,0.0702486,0.044056285,0.10310051
16,0.25797763,0.24950041,0.06254008,0.1908891,0.06944777,0.04490417,0.09682931
17,0.2875933,0.30481082,0.06652936,0.22379647,0.07759506,0.04694609,0.10959794
18,0.1887366,0.122917645,0.06067929,0.11661735,0.05446202,0.05523726,0.08306814
19,0.19092706,0.13728218,0.05275182,0.114298,0.05801852,0.052654535,0.08576343
20,0.31081674,0.38579625,0.06748779,0.28186965,0.07114343,0.040449686,0.10914214
21,0.34730268,0.41945288,0.07835254,0.26426983,0.09084918,0.049819816,0.12776504
22,0.13721421,0.10766401,0.045289427,0.10405803,0.050564565,0.04997128,0.07660222
23,0.3223259,0.31987125,0.072578005,0.21735789,0.08461127,0.052657705,0.11935107
24,0.31249696,0.32867286,0.06761159,0.22709097,0.07739579,0.045110784,0.1105272
25,0.25032812,0.24978007,0.062110312,0.18450557,0.07531191,0.05015565,0.10243442
26,0.16639112,0.16919725,0.048185933,0.14355344,0.0651122,0.048149686,0.09169622
27,0.243516,0.26964265,0.055355787,0.18466775,0.085267656,0.05193809,0.11389187
28,0.11279343,0.08581395,0.041311417,0.088521704,0.055541206,0.044960152,0.08179038
29,0.07124795,0.03802296,0.040045142,0.05778622,0.040852617,0.04864313,0.071841456
30,0.22825648,0.25901625,0.063832775,0.23130982,0.068287656,0.049208928,0.09978498
31,0.24403925,0.2577212,0.06576725,0.19429865,0.0938412,0.062902525,0.120882176
32,0.19695225,0.19401954,0.050570257,0.14398295,0.07692069,0.05502315,0.107320905
33,0.21995194,0.14952922,0.060476128,0.11856102,0.06802305,0.06795494,0.10161963
34,0.09234257,0.056552067,0.038818303,0.07368774,0.042122703,0.044763792,0.06713206
35,0.20722017,0.15764052,0.05081047,0.12743178,0.05812074,0.04714761,0.08462176
36,0.3165407,0.26669872,0.07989875,0.19406985,0.07403531,0.05325106,0.10711606
37,0.2507241,0.27449584,0.057391383,0.20201826,0.07775003,0.047940917,0.10589825
38,0.2726448,0.2882371,0.060794316,0.19707526,0.08528195,0.051278424,0.115274765
39,0.2775885,0.259075,0.0675421,0.19241819,0.07813071,0.050125822,0.10669396
40,0.16487175,0.10384619,0.059797242,0.09936372,0.06619183,0.0672408,0.09655829
41,0.16329534,0.12308663,0.04418888,0.11496573,0.047350004,0.042396206,0.07357174
42,0.32140592,0.29824826,0.07775581,0.21681543,0.08584431,0.058631267,0.119702995
43,0.17549345,0.19916235,0.040688965,0.14255011,0.08047675,0.051638845,0.10653112
44,0.42324418,0.45036358,0.08898223,0.2569992,0.06935622,0.038659535,0.11542748
45,0.17646675,0.19071929,0.045113824,0.15923336,0.06264933,0.041389175,0.08808318
46,0.09671158,0.09868737,0.032131284,0.10606406,0.0428363,0.033728503,0.064783834
47,0.25296476,0.23207164,0.063164786,0.16421933,0.074846655,0.054333925,0.10509545
48,0.37458038,0.42455727,0.08241283,0.25357386,0.08773724,0.04563659,0.12788571
49,0.13266587,0.12426975,0.038910385,0.110663645,0.057153117,0.043355,0.0804799
50,0.08581924,0.072672434,0.033242505,0.081134394,0.038654763,0.03390156,0.061888896
51,0.16870376,0.14951608,0.04688671,0.124684416,0.07074358,0.04921022,0.095278375
52,0.073876485,0.053669967,0.036033683,0.0669879,0.07114896,0.065840766,0.100872695
53,0.20051432,0.14890672,0.054598246,0.1302656,0.059340067,0.052155174,0.09085512
54,0.04840676,0.03555631,0.03170464,0.0623865,0.042445224,0.047522526,0.07313313
55,0.085460745,0.057873838,0.053421266,0.081053466,0.07104146,0.084352694,0.11111189
56,0.07197011,0.05380786,0.042835515,0.07305618,0.072013505,0.07363448,0.10629846
57,0.060208898,0.042278025,0.03327822,0.06667654,0.04821427,0.043477587,0.07841914
58,0.14891832,0.09142083,0.04745481,0.08386915,0.048479844,0.054763854,0.07618681
59,0.1956383,0.18270656,0.048292354,0.13222493,0.08031931,0.05650169,0.10501836
60,0.39182281,0.47210047,0.0845283,0.24880022,0.092054084,0.047786128,0.13822019
61,0.16032311,0.16255237,0.04001792,0.11893278,0.06672163,0.047873452,0.09198026
62,0.08358486,0.064442776,0.029508296,0.06565421,0.05246139,0.047832295,0.075612396
